programName,programOriginator,programType,programDistribution,programDescription,creditRequirement,maxDebtToIncome,blocks,neighborhoods,city-town,county,state,amountOfAssistance,limitFirstTimeHomeBuyers,householdIncomeRestrictions,amiLimit,ami,fixedRateMortgagesOnly,mortgageAmountNotToExceed,employerParticipationRequired,mustBePrimaryResidence,mustContributeAmount,mustEarnCounselingCertificate,requiresInspection,eligibilityLimitations,eligible,getStarted,atAGlance,canBeCombined,canBeCombinedWith,participatingLenders,programContact,programLink
Home Possible Loan,Freddie Mac,3% Down Mortgage,,"Freddie Mac’s Home Possible® loan is another first-time homebuyer program with the incentive of a low down payment. Repeat homebuyers are also eligible for this mortgage. Still, no matter which type of buyer you are, you must meet income limits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://studentloanhero.com/featured/first-time-homebuyer-grants-programs/#first
Your Path Mortgage Program,Freddie Mac,3% Down Mortgage,,"The Your Path Mortgage Program is designed to help individuals with low-to-moderate incomes or alternate sources of income qualify for mortgages. The program is offered through a collaboration between Freddie Mac, Alterra Home Loans and New American Funding. Freddie Mac is a government-sponsored enterprise that provides capital to lenders and works with lenders to develop mortgage programs for borrowers. Alterra Home Loans and New American Funding are lenders that focus on underserved borrowers, particularly minority populations.

The Your Path Program is based on Freddie Mac’s low down payment Home Possible Mortgage Program. Like the Home Possible Program, the Your Path Program requires a down payment of only 3% and no personal financial contribution from the borrower to buy a home. Additionally, as outlined below, the two programs have many of the same borrower qualification requirements and program eligibility guidelines.

Both programs also allow applicants to include income from non-borrower household members such as relatives or boarders to qualify for the mortgage or improve the borrower’s debt-to-income ratio, which may allow you to get approved for a larger mortgage. For example if you purchase a single family property and relatives or boarders intend to live with you in the property for at least twelve months then you can use the income from the individuals to qualify for the mortgage, even though they are not co-borrowers and do not own the home. Additionally, if you purchase a multi-family property (up to four units), the rental income from the units you do not occupy could help you qualify for the mortgage.

Although there is significant overlap between the two program, the Your Path Mortgage Program offers several unique and innovative features intended to make it easier for borrowers to qualify for a mortgage. Key differentiators of the Your Path Mortgage Program include:

The ability to include borrower income from a second job with only twelve months of work history instead of two years of history
More options for self-employed borrowers to demonstrate their income
Enhanced flexibility to include income from seasonal employment
Reduced bank documentation required to demonstrate proof of a down payment
These features, along with permitting non-borrower household income to be used to qualify for a mortgage, are designed to address the growth in multi-generational households as well as the increasing number of borrowers with non-traditional sources of income. By applying more flexible borrower qualification requirements, the Your Path Mortgage Program makes home ownership accessible to more people.

The Your Path Program competes with conventional low / no down payment programs such as the HomeReady Mortgage Program, Bank of America Affordable Loan Solution Program and Wells Fargo yourFirst Mortgage Program as well as government-backed programs such as the FHA, VA and USDA programs. Be sure to compare and understand multiple low / no down payment mortgage programs to find the one that best meets your needs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.freeandclear.com/programs/your-path-mortgage-program-overview.html
Matching Rehab Grant,"Healthy Neighborhoods, Inc.",Home Repair Grant,,"In combination with our Purchase and Rehab loan or Home Improvement loan, borrowers may be eligible for a matching grant of up to $10,000. Income restrictions apply. Click Learn more to check your income eligibility.

For more information, contact Rahn Barnes at rbarnes@healthyneighborhoods.org or 410-332-0387 ext. 154",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://healthyneighborhoods.org/our-loans/purchase-rehab/ (10000 MATCHING REHABD GRANT)
First Mortgage Loan to Purchase,"Healthy Neighborhoods, Inc.",3% Down Mortgage,,"Eligible borrowers will be those who are purchasing a house on a target block in a Healthy Neighborhoods
community. Target houses may include formally foreclosed or vacant properties throughout the
neighborhoods as approved by Healthy Neighborhoods.
2. An eligible property may contain 1-4 properly zoned residential units.
3. Borrowers may be referred to the bank by a participating neighborhood organization, or Healthy
Neighborhoods, Inc., Borrower is responsible for the upfront cost of a credit report if one cannot be provided
at no cost.
4. Borrowers will be underwritten and approved by M&T Bank. Borrowers must meet Fannie Mae standard
underwriting guidelines. Housing expense, including principal, interest, taxes and insurance, should not exceed
30% of borrower’s income. Total long term debt payments should not exceed 40% of borrower’s income. A
minimum credit score of 620 is required. Borrower may not have any open derogatory credit items.
5. Maximum aggregate loan amount secured by the property (including any settlement expense loans) shall not
exceed 97% loan to value, as established by appraisal. Loans to borrowers will be limited to a maximum loan
amount of $295,000. There will be no private mortgage insurance premium required.
6. Maximum permanent loan term is 30 years.
7. New purchasers must invest at least 3% of the purchase price from their own funds. Gifts may be counted
toward meeting this requirement; however, government or philanthropic grants and settlement expense
loans will not count toward meeting the investment requirement. Borrowers are responsible for closing costs
of any subordinate debt.
8. The program discounted permanent interest rate will be 50 basis points below the 60 day Fannie Mae Rate as
published in the Wall Street Journal, but in no event less than 4%, set at time of rate lock.
9. The loans will constitute a first mortgage on the property payable in fixed monthly payments.
10. Borrower will pay 2.25 points as a loan origination charge to M&T Bank, a one time 0.26 point pool insurance
fee to the Maryland Housing Fund plus all customary loan closing costs. These fees and closing costs may be
included in the loan if borrower has met the required cash contribution and loan amount does not exceed
maximum program loan to value.
December 2017
Healthy Neighborhoods, Inc. Page 2 of 2
2 E. Read Street, 2nd Floor
Baltimore, MD 21202
410-332-0387 ext. 154
www.healthyneighborhoods.org
11. An application disclosure must be signed by all borrowers prior to loan commitment.
12. The borrower agrees that any payment delinquency or default may be reported by the lender to the referring
neighborhood organization, to Healthy Neighborhoods, Inc., and to any loan pool guarantor, insurer or
Healthy Neighborhoods neighborhood partner.
13. Borrowers who own residential rental property are not eligible for financing under this program.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://healthyneighborhoods.org/wp-content/uploads/2018/08/Acquisition-Loan_Dec_2017.pdf
Rehab & Refinance Loan,"Healthy Neighborhoods, Inc.",3% Acquistion and Rehab Mortgage,,"Eligible Borrowers must also use this loan to make improvements to the property in conjunction with the purchase. Click here for a list of the target blocks that are eligible for this loan. The loan carries a fixed interest rate that’s always 1% below the 60-day Fannie Mae rate but in no event less than 4%. After contributing 3% of the purchase price from their own funds, buyers may borrow the balance of funds needed to buy and renovate the home, as much as 110% of the after-rehabilitation appraisal of the property. No private mortgage insurance is required. Design assistance from an architectural firm is available at no cost to help buyers plan improvement and review contractor proposals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://healthyneighborhoods.org/wp-content/uploads/2020/03/AcquisitioRehab_and_RefinanceRehab_Loan_Feb2020-converted.pdf
HPI Workforce Homeownership Program,"Home Partnership, Inc.",Down Payment & Closing Costs,,"The goal of the WHP is to enable certain essential workers in Harford County to purchase homes in Harford County. This workforce includes school teachers, police officers, firefighters and emergency medical technicians, allied healthcare workers, active military and employees of the US Military. Salaries for many of these jobs make it very difficult for these workers to afford the average sales prices of homes in Harford County or to save the cash needed for settlement costs and down payments required for home mortgages. The sponsors of the WHP, the Dresher Foundation and Home Partnership, Inc., believe that having these critical jobs filled with people who live and work in Harford County strengthens communities, stabilizes neighborhoods and contribute",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.homepartnershipinc.org/down-payment-closing-cost-assistance
Crowdfund with HomeFundIt,HomeFundIt,Down Payment & Closing Costs,,"Crowdfunding Your Down Payment With HomeFundIt
HomeFundIt is the only crowdfunding program in the nation approved by Fannie Mae and Freddie Mac for use with conventional mortgage loans. It's easy to set up your campaign and then share your goal with your friends and family.

Features:

Just about anyone can contribute to your down payment savings.
No set up or transaction fees.
Easy to use and easy to contribute - online with a credit or debit card.
Contributors have the option to give conditional or non-conditional gifts.
Easy to share on social media and websites.
Funds are immediately available for your home purchase.
Mortgage preapproval is required to start and can be done online or with a Loan Officer.
Up to $1500 closing cost grant available to first-time home buyers (restrictions apply).",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.homefundit.com/how-it-works
Closing Costs Grant,HomeFundIt,Closing Cost Assistance,,"Closing Costs Grant
CMG Financial will give $2 for every $1 raised via crowdfunding (pledged funds do not apply) up to $1500 or 1% of the purchase price, whichever is less. Grant funds will be applied to non-recurring closing costs.

CMG Financial will also contribute $100 to get you started.

This grant is available to first-time home buyers (as defined by Fannie Mae) who complete home buyer education or pre-purchasing counseling. Closing costs include appraisal fees, title insurance, loan origination fees, discount points, deed recording fees, taxes, etc. These fees will vary based on the location of the home and the purchase price.

Grant 2
Grant Eligibility Criteria
To qualify for this grant, borrowers must meet the following eligibility criteria:

First-time home buyer, as defined by Fannie Mae
Completion of home buyer education prior to signing the purchase contract (can be same day)
Loan preapproval prior to home buyer education
Grant 3
Home Buyer Education
Home Buyer Education/Pre-Purchase Counseling helps borrowers understand the mortgage process. Purchasing and owning a home is a major responsibility. We're big believers helping borrowers prepare for this responsibility. We work closely with HUD-approved housing counseling agencies to pair you with the education program that is best for you and your schedule.

Home buyer education can be completed via phone or online. Over-the-phone education is available on weekdays only and takes 60 to 90 minutes. Online education is available anytime and takes two to four hours to complete.

You can get started by clicking the button on your HomeFundIt campaign control panel or by contacting your CMG Financial Loan Officer.

Grant 4
For Seller Paid Closing Costs
In cases where closing costs are fully paid by the seller or other interested party, your grant funds can be applied towards discount points to get a lower interest rate. HomeFundIt Closing Costs Covered grant funds do not count towards Interested Party Contribution (IPC ) limits.

To learn more, contact your Loan Officer or email the HomeFundIt team at info@homefundit.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.homefundit.com/Grant
Option 2 of the MPP,Housing Opportunites Commission of Montgomery County,Deferred Then Forgiveable Second Mortgage,,"This option provides the first mortgage plus 3% of the sales price of the property which can be used for downpayment or closing costs.
Funds for the 3% closing cost assistance are provided as a deferred loan (second mortgage) with a 0% interest rate.
No monthly payments are required.
If the property is sold or the first mortgage is paid off during the first five years, the borrower will have to repay a pro rata portion of the downpayment assistance to HOC.
This loan option may be combined with other FHA approved closing cost assistance, provided the borrower qualifies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.hocmc.org/extra/2-uncategorised/75-mortgage-finance-closing-cost-assistance.html
Revolving Closing Cost Assistance Program,Housing Opportunites Commission of Montgomery County,Second Mortgage,,"This program provides 5% of the sales price up to $10,000 as a second mortgage which can be used for downpayment and/or closing costs.
The loan is repaid in regular monthly payments over a 10 year term at an interest rate of 5%.
The RCCAP must be used with an HOC first mortgage (with one exception – HK4E).
The RCCAP may be combined with other FHA approved closing cost assistance, provided the borrower can qualify.
At least one borrower must be working IN Montgomery County to be eligible for the RCCAP. This means the regular place of daily work is located in the county.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.hocmc.org/extra/2-uncategorised/75-mortgage-finance-closing-cost-assistance.html
Housing Opportunities Commission Loan (HOC),Housing Opportunites Commission of Montgomery County,Forgivable Second,,The Housing Opportunities Commission loan (HOC) is a first time buyer loan program built for purchasers in Montgomery County.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://alexjaffe.com/md-down-payment-assistance/
House Keys 4 Employees,Housing Opportunites Commission of Montgomery County,Down Payment & Closing Costs,,"This program is available only to Montgomery County Government employees. (see list of agencies regarded as county government).
The county employee applies directly to the HOC/CDA participating lenders for this program.
HK4E is a state program which provides added closing cost assistance when an employer offers closing cost assistance to its employees.
The County Government’s assistance is the Revolving Closing Cost Assistance Program (RCCAP).
The first mortgage must be through the Maryland CDA mortgage program. See the state’s web page, http://www.mmp.maryland.org/ for more information about this program. A lender who is approved by both HOC and CDA must originate the first mortgage. See Participating lenders.
The property must be in Montgomery County.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.hocmc.org/extra/2-uncategorised/75-mortgage-finance-closing-cost-assistance.html
Live Near Your Work,Johns Hopkins,Down Payment & Closing Costs,,"Considering buying a house in Baltimore City? We can help. The Johns Hopkins Live Near Your Work program offers grants of up to $17,000 toward a downpayment and closing costs associated with buying a house in designated city neighborhoods.

Hear from one JHU employee who used a Live Near Your Work grant to buy a home close to work (please note that grant amounts are subject to change).",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://hr.jhu.edu/benefits-worklife/live-near-your-work/
Maryland SmartBuy - Targeted,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"The Maryland SmartBuy initiative helps homebuyers with eligible student debt purchase a home.
The program offers highly attractive financing and closing cost assistance for move-in ready, state-owned homes, including loan forgiveness of up to 15% of the purchase price.
Homebuyers use the Maryland Mortgage program to purchase the home AND pay off student loan debt.",,,,,,,,15% of Price,,,,,,,,,,,,,,,,,Homebuyers use the Maryland Mortgage program to purchase the home AND pay off student loan debt.,https://mmp.maryland.gov/Pages/SmartBuy/Lenders.aspx,1-800-638-7781,
Special Assistance Grant (50% AMI) - Targeted,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"The Special Assistance Grant is designed to assist income selected homebuyers with grants for down payment assistance and closing costs when purchasing a home with a Freddie Mac Advantage conventional mortgage.
$2,500.00 for borrowers with inc​ome not exceeding 50% of Area Median Income (AMI) OR $1,500.00 for borrowers above 50% and not exceeding 80% of the AMI
The Special Assistance Grant may be layered with down payment assistance loans or grants, including Partner Match loans.",,,,,,,,"$2,500",,,TRUE,80,,,,,,,,,,,,,"The Special Assistance Grant may be layered with down payment assistance loans or grants, including Partner Match loans.",https://mmp.maryland.gov/Pages/Find-A-Lender.aspx,1-800-638-7781,
Maryland Mortgage Program Smart Keys 4 Employees,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"The Maryland Mortgage Program (MMP) helps homebuyers in Maryland achieve their dream of homeownership through a range of programs that make purchasing and owning a home more affordable. MMP home loans are 30-year fixed-rate loans available as either Government or Conventional insured loans. 1st Time Advantage loans are designed to offer eligible homebuyers the lowest 30-year fixed interest rate available for Maryland Mortgage Program loans. The 1st Time Advantage 5000 loan comes with a $5,000 loan for down payment and closing costs, structured as a 0% deferred interest second lien.",,,,,,,,"$1,000",,TRUE,,,TRUE,,,TRUE,,TRUE,,"You must earn a homeownership counseling certificate before closing on your home.
You may not own other properties at the time of closing.
You must live in this home as your primary residence.
You must use a Maryland Mortgage Program-approved lender.
For purchases in Baltimore City, this program is not limited to first-time homebuyers.
Your mortgage amount cannot exceed Maryland Mortgage Program limits.
Household income cannot exceed Maryland Mortgage Program limits
The Maryland HomeCredit Program cannot be used with 1st Time Advantage loans.
Maryland Mortgage Program Partner Match can be used with the 1st Time Advantage 5000 loan.",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and contact a Maryland Mortgage Program-approved lender,"$5,000",,,,,
The Maryland HomeCredit Program,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",Credit Certificates,,"The Maryland HomeCredit Program (MD HomeCredit Program) provides Mortgage Credit Certificates (MCC) that entitle eligible borrowers to take a federal income tax credit equal to a percentage (the Certificate Credit Rate stated below) of the interest paid during the year on a mortgage loan covered by the MCC, up to a maximum of $2,000 per year.

Click here to download the Fact Sheet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Assistance Grant (80% AMI) - Targeted,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"The Special Assistance Grant is designed to assist income selected homebuyers with grants for down payment assistance and closing costs when purchasing a home with a Freddie Mac Advantage conventional mortgage.
$2,500.00 for borrowers with inc​ome not exceeding 50% of Area Median Income (AMI) OR $1,500.00 for borrowers above 50% and not exceeding 80% of the AMI
The Special Assistance Grant may be layered with down payment assistance loans or grants, including Partner Match loans.",,,,,,,,"$1,500",,,TRUE,80,,,,,,,,,,,,,"The Special Assistance Grant may be layered with down payment assistance loans or grants, including Partner Match loans.",https://mmp.maryland.gov/Pages/Find-A-Lender.aspx,1-800-638-7781,
Special Assistance Grant (50% AMI),"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"The Special Assistance Grant is designed to assist income selected homebuyers with grants for down payment assistance and closing costs when purchasing a home with a Freddie Mac Advantage conventional mortgage.
$2,500.00 for borrowers with inc​ome not exceeding 50% of Area Median Income (AMI) OR $1,500.00 for borrowers above 50% and not exceeding 80% of the AMI
The Special Assistance Grant may be layered with down payment assistance loans or grants, including Partner Match loans.",,,,,,,,"$2,500",,,TRUE,80,,,,,,,,,,,,,"The Special Assistance Grant may be layered with down payment assistance loans or grants, including Partner Match loans.",https://mmp.maryland.gov/Pages/Find-A-Lender.aspx,1-800-638-7781,
Maryland Mortgage Program Flex 3% Loan,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"The Maryland Mortgage Program (MMP) helps homebuyers in Maryland achieve their dream of homeownership through a range of programs that make purchasing and owning a home more affordable. MMP home loans are 30-year fixed-rate loans available as either Government or Conventional insured loans. Flex loans allow buyers to benefit from the Maryland HomeCredit program. The Flex 3% Loan comes with down payment assistance loan equal to 3% of the first mortgage, structured as a 0% interest deferred second lien.",,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,"The Maryland Mortgage Program (MMP) helps homebuyers in Maryland achieve their dream of homeownership through a range of programs that make purchasing and owning a home more affordable. MMP home loans are 30-year fixed-rate loans available as either Government or Conventional insured loans. Flex loans allow buyers to benefit from the Maryland HomeCredit program. The Flex 3% Loan comes with down payment assistance loan equal to 3% of the first mortgage, structured as a 0% interest deferred second lien.",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and contact a Maryland Mortgage Program-approved lender,,,,,,
Special Assistance Grant (80% AMI),"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"The Special Assistance Grant is designed to assist income selected homebuyers with grants for down payment assistance and closing costs when purchasing a home with a Freddie Mac Advantage conventional mortgage.
$2,500.00 for borrowers with inc​ome not exceeding 50% of Area Median Income (AMI) OR $1,500.00 for borrowers above 50% and not exceeding 80% of the AMI
The Special Assistance Grant may be layered with down payment assistance loans or grants, including Partner Match loans.",,,,,,,,"$1,500",,,TRUE,80,,,,,,,,,,,,,"The Special Assistance Grant may be layered with down payment assistance loans or grants, including Partner Match loans.",https://mmp.maryland.gov/Pages/Find-A-Lender.aspx,1-800-638-7781,
Maryland Mortgage Program Flex Direct 5000,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"This is the Maryland Mortgage Program loan with a $5,000 loan for down payment and closing costs assistance.
This product is also available to first-time and repeat homebuyers.",,,,,,,,"$5,000",,,,,,,,,,,,,,,,,,https://mmp.maryland.gov/Pages/Find-A-Lender.aspx,800-756-0119,
Maryland Mortgage Program Flex 3% Grant,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,The Maryland Mortgage Program (MMP) helps homebuyers in Maryland achieve their dream of homeownership through a range of programs that make purchasing and owning a home more affordable. MMP home loans are 30-year fixed-rate loans available as either Government or Conventional insured loans. Flex loans allow buyers to benefit from the Maryland HomeCredit program. The Flex 3% Grant comes with down payment assistance grant equal to 3% of the first mortgage.,,,,,,,,"$2,500",,TRUE,,,TRUE,,,TRUE,,TRUE,,"You must earn a homeownership counseling certificate before closing on your home.
You may not own other properties at the time of closing.
You must live in this home as your primary residence.
You must use a Maryland Mortgage Program-approved lender.
Your mortgage amount cannot exceed Maryland Mortgage Program limits.
Not limited to first-time homebuyers
Household income cannot exceed Maryland Mortgage Program limits
Maryland Mortgage Program Partner Match cannot be used with Flex 3% Grant loans.",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and contact a Maryland Mortgage Program-approved lender,,,,,,
Maryland Mortgage Program House Keys 4 Employees,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"The Maryland Mortgage Program (MMP) helps homebuyers in Maryland achieve their dream of homeownership through a range of programs that make purchasing and owning a home more affordable. MMP home loans are 30-year fixed-rate loans available as either Government or Conventional insured loans. 1st Time Advantage loans are designed to offer eligible homebuyers the lowest 30-year fixed interest rate available for Maryland Mortgage Program loans. The 1st Time Advantage 5000 loan comes with a $5,000 loan for down payment and closing costs, structured as a 0% deferred interest second lien.",,,,,,,,"$2,500",,TRUE,,,TRUE,,,TRUE,,TRUE,,"You must earn a homeownership counseling certificate before closing on your home.
You may not own other properties at the time of closing.
You must live in this home as your primary residence.
You must use a Maryland Mortgage Program-approved lender.
For purchases in Baltimore City, this program is not limited to first-time homebuyers.
Your mortgage amount cannot exceed Maryland Mortgage Program limits.
Household income cannot exceed Maryland Mortgage Program limits
The Maryland HomeCredit Program cannot be used with 1st Time Advantage loans.
Maryland Mortgage Program Partner Match can be used with the 1st Time Advantage 5000 loan.",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and contact a Maryland Mortgage Program-approved lender,"$5,000",,,,,
Maryland Homefront Mortgage,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",0% Down Mortgage,,"What is the Maryland Homefront Mortgage?
The Maryland Homefront Mortgage Program offers a reduced interest rate to active duty military and veterans. Eligible applicants can receive a quarter percentage point off their interest rate.

Reduced interest rates for Maryland active duty military and veterans and help with down payment and closing costs What are the benefits and requirements of the Maryland Homefront Mortgage?
This program has the following features:
Below market interest rates
Down payment assistance options
Who may benefit from the Maryland Homefront Mortgage?
This program may be the right fit for:
Maryland veterans
Maryland active duty military",,,,,,,,,,,,,,,,,,,,,,,,,"The Special Assistance Grant may be layered with down payment assistance loans or grants, including Partner Match loans.",https://mmp.maryland.gov/Pages/Find-A-Lender.aspx,https://mmp.maryland.gov/Pages/Homebuyer-Education.aspx,
Maryland Mortgage Program Flex 4% Grant,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"Flex 4% Grant includes an outright grant of 4% of the MMP loan amount (first lien).
The grant is to be used for the down payment and/or closing costs of the mortgage loan and home purchase at closing.
HomeCredit may be combined with this program, along with other Flex loans.
This product is available to first time and repeat homebuyers in Maryland.
This product may also benefit from the Freddie Mac DPA assistance under the Special Assistance Grant, if eligible, which offers an outright grant of $2,500 for borrowers with income not exceeding 50% of the Area Median Income (AMI) and $1,500 for borrowers above 50% and not exceeding 80% of the Area Median Income (AMI).",,,,,,,,4% of Loan,,,,,,,,,,,,,,,,,"This product may also benefit from the Freddie Mac DPA assistance under the Special Assistance Grant, if eligible, which offers an outright grant of $2,500 for borrowers with income not exceeding 50% of the Area Median Income (AMI) and $1,500 for borrowers above 50% and not exceeding 80% of the Area Median Income (AMI).",https://mmp.maryland.gov/Pages/Find-A-Lender.aspx,800-756-0119,
Ho​meAbility,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",0% Down Mortgage,,"HomeAbility is a special product designed to assist Maryland homebuyers with disabilities to finance their home purchase. This is a Conventional Loan product and provides an 80% LTV first lien and up to 25% in a second lien to assist with down payment and closing costs. No mortgage insurance is required. The interest rate for the first lien is posted on the Interest Rates page​; the second lien has a rate of 0% and payment is deferred for the life of the first lien, but becomes payable upon sale, refinance, or transfer of the home.​​​ To be eligible for Ho​meAbility:​

One of the borrowers has disabilities OR one of the borrowers is a guardian for, resides with, and is the principal caregiver for an immediate family member who is disabled (regardless of age).
​Disability is documented by submitting:​​
​a CDA ""Certificate of Disability"" completed by a health, mental health, or disability professional; and/or
​​a proof of income from Social Security Administration (i.e. SSI or SSDI), VA or former employer: the proof is a copy of the borrower's disability policy, award letter or benefits statement from the benefits payer (insurance company, employer or other qualified disinterested party), per FNMA's guidelines; or
a proof of application for disability benefits evaluation and a copy of the Social Security Administration office’s decision on the application.
​It is entirely CDA’s decision as to the sufficiency of the documentation, which must be submitted by lender prior to reservation to singlefamilyhousing.dhcd@maryland.gov​.
​Borrower(s) individual income is less than or equal to the Area Media Income Limits shown below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://mmp.maryland.gov/Pages/HomeAbility/default.aspx
Maryland Mortgage Program 1st Time Advantage 3% Loan,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",Down Payment & Closing Costs,Deferred Second Mortgage,"The Maryland Mortgage Program (MMP) helps homebuyers in Maryland achieve their dream of homeownership through a range of programs that make purchasing and owning a home more affordable. MMP home loans are 30-year fixed-rate loans available as either Government or Conventional insured loans. 1st Time Advantage loans are designed to offer eligible homebuyers the lowest 30-year fixed interest rate available for Maryland Mortgage Program loans. The 1st Time Advantage 3% Loan comes with a down payment assistance loan equal to 3% of the first mortgage, structured as a 0% deferred interest second lien.",,,,,,,Maryland,3%,,TRUE,,,TRUE,,,TRUE,,TRUE,,"You must earn a homeownership counseling certificate before closing on your home.
You may not own other properties at the time of closing.
You must live in this home as your primary residence.
You must use a Maryland Mortgage Program-approved lender.
For purchases in Baltimore City, this program is not limited to first-time homebuyers.
Your mortgage amount cannot exceed Maryland Mortgage Program limits.
Household income cannot exceed Maryland Mortgage Program limits
The Maryland HomeCredit Program cannot be used with 1st Time Advantage loans.
Maryland Mortgage Program Partner Match cannot be used with 1st Time Advantage 3% loans.",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and contact a Maryland Mortgage Program-approved lender,,,,Mortgage Program Approved Lenders,,
Builder/Developer Incentive Program - Targeted,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"The Department of Housing and Community Development (the “Department”) matches the funds dollar-for-dollar up to a maximum of $2,500 in the form of a 0% deferred loan which is repayable when the home is sold or transferred, or when the first mortgage is paid off or refinanced.
Partner Match funds can be combined with basic MMP down payment funds or assistance from other non-MMP programs or jurisdictions.",,,,,,,,"$2,500",,,,,,,,,,,,,,,,,,https://mmp.maryland.gov/Pages/Find-A-Lender.aspx,1-800-638-7781,
Maryland Mortgage Program Flex 5000,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"The Maryland Mortgage Program (MMP) helps homebuyers in Maryland achieve their dream of homeownership through a range of programs that make purchasing and owning a home more affordable. MMP home loans are 30-year fixed-rate loans available as either Government or Conventional insured loans. Flex loans allow buyers to benefit from the Maryland HomeCredit program. The Flex 5000 loan comes with a $5,000 loan for down payment and closing costs, structured as a 0% interest deferred second lien.",,,,,,,,"$5,000",,TRUE,,,TRUE,,,TRUE,,TRUE,,"You must earn a homeownership counseling certificate before closing on your home.
You may not own other properties at the time of closing.
You must live in this home as your primary residence.
You must use a Maryland Mortgage Program-approved lender.
Your mortgage amount cannot exceed Maryland Mortgage Program limits.
Not limited to first-time homebuyers
Household income cannot exceed Maryland Mortgage Program limits
MMP Partner Match programs (Community Partners, House Keys 4 Employees) can be used with Flex 5000 loans.",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and contact a Maryland Mortgage Program-approved lender,"$5,000",,,,,
Maryland Mortgage Program Flex 4% Grant,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,The Maryland Mortgage Program (MMP) helps homebuyers in Maryland achieve their dream of homeownership through a range of programs that make purchasing and owning a home more affordable. MMP home loans are 30-year fixed-rate loans available as either Government or Conventional insured loans. Flex loans allow buyers to benefit from the Maryland HomeCredit program. The Flex 4% Grant comes with down payment assistance grant equal to 4% of the first mortgage.,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,"You must earn a homeownership counseling certificate before closing on your home.
You may not own other properties at the time of closing.
You must live in this home as your primary residence.
You must use a Maryland Mortgage Program-approved lender.
Your mortgage amount cannot exceed Maryland Mortgage Program limits.
Not limited to first-time homebuyers
Household income cannot exceed Maryland Mortgage Program limits
Maryland Mortgage Program Partner Match cannot be used with Flex 4% Grant loans.",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and contact a Maryland Mortgage Program-approved lender,,,,,,
